number,initial,name,action
00,OO,Osbourne Ozzy,, 
01,OA,Odette Annable,, 
02,OB,Orlando Bloom,, 
03,OC,Olivia Cooke,, 
04,OD,Olivia d'Abo,, 
05,OE,Omar Epps,, 
06,OS,Oskar Schindler,, 
07,OG,Oksana Grigorieva,, 
08,OH,Oliver Hardy,, 
09,ON,Olivia Newton-John,, 
10,AO,Aletta Ocean,, 
11,AA,Alan Alda,, 
12,AB,Antonio Banderas,, 
13,AC,Al Capone,, 
14,AD,Alexandra Daddario,, 
15,AE,Albert Einstein,, 
16,AS,Arnold Schwarzenegger,, 
17,AG,Ashley Greene,, 
18,AH,Anne Hathaway,, 
19,AN,Alfred Nobel,, 
20,BO,Barack Obama,, 
21,BA,Ben Affleck,, 
22,BB,Brigitte Bardot,, 
23,BC,Bill Clinton,, 
24,BD,Bob Dylan,, 
25,BE,Bernie Ecclestone,, 
26,BS,Britney Spears,, 
27,BG,Bill Gates,, 
28,BH,Bill Hicks,, 
29,BN,Brigitte Nielsen,, 
30,CO,Clive Owen,, 
31,CA,Christina Aguilera,, 
32,CB,Christian Bale,, 
33,CC,Charlie Chaplin,, 
34,CD,Cara Delevingne,, 
35,CE,Clint Eastwood,, 
36,CS,Claudia Schiffer,, 
37,CG,Che Guevara,, 
38,CH,Chris Hemsworth,, 
39,CN,Chuck Norris,, 
40,DO,Dirty Ol,, 
41,DA,Devon Aoki,, 
42,DB,David Bowie,, 
43,DC,Dave Chappelle,, 
44,DD,Daniel Day-Lewis,, 
45,DE,Dwight Eisenhower,, 
46,DS,Donald Sutherland,, 
47,DG,Dave Grohl,, 
48,DH,Dustin Hoffman,, 
49,DN,Dirk Nowitzki,, 
50,EO,Elizabeth Olsen,, 
51,EA,Eva Angelina,, 
52,EB,Eric Bana,, 
53,EC,Emilia Clarke,, 
54,ED,Ellen Degeneres,, 
55,EE,Erika Eleniak,, 
56,ES,Emma Stone,, 
57,EG,Eva Green,, 
58,EH,Ernest Hemingway,, 
59,EN,Edward Norton,, 
60,SO,Shaquille O'Neal,, 
61,SA,Steve Aoki,, 
62,SB,Sandra Bullock,, 
63,SC,Sean Connery,, 
64,SD,Shannen Doherty,, 
65,SE,Shannon Elizabeth,, 
66,SS,Sylvester Stallone,, 
67,SG,Sasha Grey,, 
68,SH,Stephen Hawking,, 
69,SN,Stevie Nicks,, 
70,GO,Gary Oldman,, 
71,GA,Gillian Anderson,, 
72,GB,George Bush,, 
73,GC,George Clooney,, 
74,GD,Geena Davis,, 
75,GE,Giancarlo Esposito,, 
76,GS,Gwen Stefani,, 
77,GG,Gina Gershon,, 
78,GH,Gene Hackman,, 
79,GN,Graham Norton,, 
80,HO,Hakeem Olajuwon,, 
81,HA,Hank Azaria,, 
82,HB,Humphrey Bogart,, 
83,HC,Hillary Clinton,, 
84,HD,Hilary Duff,, 
85,HE,Harlan Ellison,, 
86,HS,Howard Stern,, 
87,HG,Heather Graham,, 
88,HH,Hulk Hogan,, 
89,HN,Helmut Newton,, 
90,NO,Nick Offerman,, 
91,NA,Nina Agdal,, 
92,NB,Napoleon Bonaparte,, 
93,NC,Nicolas Cage,, 
94,ND,Nina Dobrev,, 
95,NE,Noah Emmerich,, 
96,NS,Nancy Sinatra,, 
97,NG,Neil Gaiman,, 
98,NH,Nina Hartley,, 
99,NN,Nick Nolte,, 
